Quarter,Start,End,Correlation,Num Days
2020Q3,2020-07-28,2020-10-27,0.3460078712141512,64
2020Q4,2020-10-27,2021-01-28,0.9487542879487287,63
2021Q1,2021-01-28,2021-04-29,-0.140095836514372,63
2021Q2,2021-04-29,2021-07-29,0.16634910017409976,63
2021Q3,2021-07-29,2021-10-28,0.6134759027080795,64
2021Q4,2021-10-28,2022-02-01,0.9843976067385939,65
2022Q1,2022-02-01,2022-05-03,0.8596691671334523,63
2022Q2,2022-05-03,2022-08-02,0.447639305928511,62
2022Q3,2022-08-02,2022-11-01,0.9538065385902403,64
2022Q4,2022-11-01,2023-02-02,0.8947020893378828,63
2023Q1,2023-02-02,2023-05-01,0.7599128989467852,60
2023Q2,2023-05-01,2023-08-01,0.7459416125265158,63
2023Q3,2023-08-01,2023-11-01,0.830323475584372,65
2023Q4,2023-11-01,2024-02-06,0.6392122368358183,65
2024Q1,2024-02-06,2024-04-29,0.9315442822079032,57
2024Q2,2024-04-29,2024-08-01,0.7883220438484017,65
2024Q3,2024-08-01,2024-10-30,0.8725969752964761,63
2024Q4,2024-10-30,2025-02-05,0.7342997646906387,65
2025Q1,2025-02-05,2025-05-01,0.706573017967116,59
2025Q2,2025-05-01,2025-06-26,-0.06845249995431311,38
