filing_date,quarter,symbol,percentage,value,price_before,price_after,price_change_pct,hld_pct_change
2018-11-14,Q3 2018,0A2S.IL,0.2,34177,,,,
2019-02-14,Q4 2018,0A2S.IL,0.2,24415,,,,-28.56306873043275
2019-05-15,Q1 2019,0A2S.IL,0.1,26982,,,,10.514028261314756
2019-08-14,Q2 2019,0A2S.IL,0.1,22445,,,,-16.814913646134457
2019-11-14,Q3 2019,0A2S.IL,0.4,69997,41.900001525878906,41.900001525878906,0.0,211.86010247271105
2020-02-14,Q4 2019,0A2S.IL,1.2,224462,35.099998474121094,37.20000076293945,5.982912763847189,220.67374316042114
2020-05-15,Q1 2020,0A2S.IL,1.3,213838,59.25,60.75,2.5316455696202533,-4.733095134142973
2020-08-14,Q2 2020,0A2S.IL,2.0,523452,88.75,87.0,-1.971830985915493,144.78904591326142
2020-11-16,Q3 2020,0A2S.IL,3.0,1056865,134.0,134.0,0.0,101.90294430052802
2021-02-16,Q4 2020,0A2S.IL,6.4,2496808,134.0,134.0,0.0,136.24663509530546
2021-05-17,Q1 2021,0A2S.IL,4.3,1881424,134.0,134.0,0.0,-24.64682907135831
2021-08-16,Q2 2021,0A2S.IL,3.3,1785020,134.0,134.0,0.0,-5.123991189652088
2021-11-15,Q3 2021,0A2S.IL,2.4,1274191,134.0,134.0,0.0,-28.61755050363581
2022-02-14,Q4 2021,0A2S.IL,2.0,920233,134.0,134.0,0.0,-27.779037836556686
2022-05-16,Q1 2022,0A2S.IL,0.9,231520,134.0,134.0,0.0,-74.84115435981974
2022-08-15,Q2 2022,0A2S.IL,0.0,247,134.0,134.0,0.0,-99.89331375259157
2022-11-14,Q3 2022,0A2S.IL,0.0,250,134.0,134.0,0.0,1.2145748987854255
2023-02-14,Q4 2022,0A2S.IL,0.0,326,134.0,134.0,0.0,30.400000000000006
2023-11-14,Q3 2023,0A2S.IL,1.0,134198,134.0,134.0,0.0,41065.030674846625
2024-02-14,Q4 2023,0A2S.IL,0.7,91487,134.0,134.0,0.0,-31.82685285920803
2025-02-14,Q4 2024,0A2S.IL,1.0,254955,134.0,134.0,0.0,178.67893799119
2025-05-15,Q1 2025,0A2S.IL,2.0,522595,134.0,134.0,0.0,104.97538781353572
2014-02-14,Q4 2013,0A2X.IL,0.9,69269,,,,
2016-02-16,Q4 2015,0A2X.IL,0.6,79696,,,,15.052909670992797
2016-05-16,Q1 2016,0A2X.IL,1.2,85201,,,,6.9074984942782525
2016-08-15,Q2 2016,0A2X.IL,0.7,37391,,,,-56.1143648548726
2017-02-14,Q4 2016,0A2X.IL,1.1,89203,,,,138.5681046241074
2017-05-15,Q1 2017,0A2X.IL,1.9,188553,,,,111.37517796486667
2017-08-14,Q2 2017,0A2X.IL,1.7,200883,,,,6.5392754291896615
2017-11-14,Q3 2017,0A2X.IL,2.3,332193,,,,65.36640731171876
2018-02-14,Q4 2017,0A2X.IL,2.4,299098,,,,-9.962581992998043
2018-05-15,Q1 2018,0A2X.IL,2.5,373394,,,,24.840018990431222
2018-08-14,Q2 2018,0A2X.IL,1.9,370474,,,,-0.7820157795786709
2018-11-14,Q3 2018,0A2X.IL,1.4,300850,,,,-18.793221656580485
2019-02-14,Q4 2018,0A2X.IL,1.7,255814,,,,-14.969586172511217
2019-05-15,Q1 2019,0A2X.IL,1.9,340019,,,,32.916494015182906
2019-08-14,Q2 2019,0A2X.IL,1.9,359055,,,,5.598510671462487
2019-11-14,Q3 2019,0A2X.IL,1.7,322679,44.709999084472656,44.709999084472656,0.0,-10.131038420297722
2020-02-14,Q4 2019,0A2X.IL,1.5,277770,56.73500061035156,56.73500061035156,0.0,-13.917546540059933
2020-05-15,Q1 2020,0A2X.IL,1.8,306931,50.44839859008789,50.44839859008789,0.0,10.498253951110637
2020-08-14,Q2 2020,0A2X.IL,1.5,394065,76.55799865722656,76.55799865722656,0.0,28.38879096604774
2020-11-16,Q3 2020,0A2X.IL,1.2,438209,71.87999725341797,75.5,5.036175410273678,11.202212832908277
